X,Y,TimeStamp(tracker),MilliSecTimer(system),ArrangedTime
2133.502766,1139.778655,61484816.05,424981.9636,38669.9636
2172.390077,1157.913994,61484846.42,425012.9125,38700.9125
2180.824293,1143.160901,61484876.51,425043.3961,38731.3961
2283.039455,1115.761793,61484906.74,425074.4462,38762.4462
2260.199736,1100.160733,61484936.78,425102.6551,38790.6551
2270.948891,1088.507795,61484966.54,425132.9371,38820.9371
2263.11129,1068.810108,61484997.21,425163.1614,38851.1614
2253.15031,1094.16295,61485027.62,425195.7336,38883.7336
2250.30582,1109.990613,61485057.44,425223.6859,38911.6859
2266.735322,1109.798268,61485088.19,425254.5756,38942.5756
2269.793237,1128.45441,61485118.06,425284.0539,38972.0539
2281.063669,1115.891559,61485148.48,425316.577,39004.577
2282.861509,1102.185302,61485178.17,425346.1161,39034.1161
2280.495325,1111.758277,61485208.79,425376.0863,39064.0863
2272.096041,1126.489662,61485239.19,425405.5518,39093.5518
2268.676865,1132.925802,61485268.85,425435.8615,39123.8615
2269.808574,1127.538884,61485299.68,425465.6013,39153.6013
2270.970551,1118.153188,61485329.65,425497.0656,39185.0656
2277.925928,1116.394957,61485359.77,425525.5174,39213.5174
2282.829313,1110.545973,61485389.95,425555.8052,39243.8052
2286.318311,1103.275764,61485420.09,425586.2064,39274.2064
2264.614295,1094.635853,61485449.56,425615.4056,39303.4056
2270.048912,1086.912786,61485480.44,425646.1467,39334.1467
2278.306896,1081.400369,61485510.77,425676.7407,39364.7407
2279.646373,1091.123269,61485539.82,425705.5728,39393.5728
2268.885109,1120.793894,61485570.32,425736.0937,39424.0937
2156.058506,1040.990594,61485601.11,425767.1461,39455.1461
2122.101301,1013.393145,61485631.26,425797.0768,39485.0768
2130.642203,1036.017359,61485661.2,425827.0349,39515.0349
2123.521765,1043.146086,61485691.36,425857.3189,39545.3189
2120.065988,1043.371817,61485721.83,425888.7753,39576.7753
2105.079286,1033.814383,61485752.14,425918.3266,39606.3266
2104.84418,1033.842513,61485782.2,425948.2429,39636.2429
2281.450911,969.1268279,61485812.42,425978.2426,39666.2426
2242.936198,985.8346581,61485843.16,426009.3662,39697.3662
2268.22476,998.0434658,61485872.8,426038.8006,39726.8006
2283.162489,986.4816191,61485902.94,426068.7374,39756.7374
2300.437613,973.1334634,61485933.49,426099.2293,39787.2293
2304.547039,986.3157049,61485963.49,426130.7345,39818.7345
