timestamp, action_unit_list, facial_expression
7.641,"[6, 7, 10, 12, 14, 23, 25]",Happy
7.674,"[6, 7, 10, 12, 14, 23, 25]",Happy
7.708,"[6, 7, 10, 12, 14, 25]",Happy
7.741,"[6, 7, 10, 12, 14, 25]",Happy
7.774,"[6, 7, 10, 12, 14, 25]",Happy
7.808,"[6, 7, 10, 12, 14, 25]",Happy
7.841,"[6, 7, 10, 12, 14, 25]",Happy
7.875,"[6, 7, 10, 12, 14, 25]",Happy
7.908,"[6, 7, 10, 12, 14, 25]",Happy
7.941,"[6, 7, 10, 12, 14, 25]",Happy
7.975,"[6, 7, 10, 12, 14, 25]",Happy
8.008,"[6, 7, 10, 12, 14, 25]",Happy
8.041,"[6, 7, 10, 12, 14, 25]",Happy
8.075,"[6, 7, 10, 12, 14, 25]",Happy
8.108,"[6, 7, 10, 12, 14, 25]",Happy
8.141,"[6, 7, 10, 12, 14, 25]",Happy
8.175,"[6, 7, 10, 12, 14, 25]",Happy
8.208,"[6, 7, 10, 12, 14, 25]",Happy
8.242,"[6, 7, 10, 12, 14, 25]",Happy
8.275,"[6, 7, 10, 12, 14, 25]",Happy
8.308,"[6, 7, 10, 12, 14, 25]",Happy
8.342,"[5, 6, 7, 10, 12, 14, 25]",Happy
8.375,"[5, 6, 7, 10, 12, 14, 25]",Happy
8.408,"[5, 6, 7, 10, 12, 14, 25]",Happy
8.442,"[5, 6, 7, 10, 12, 23, 25, 26]",Happy
8.475,"[5, 6, 7, 10, 12, 23, 25, 26]",Happy
8.509,"[1, 5, 6, 7, 10, 12, 23, 25, 26]",Happy
8.542,"[1, 2, 5, 6, 7, 10, 12, 23, 25, 26]",Happy
8.575,"[1, 2, 5, 6, 7, 10, 12, 23, 25, 26]",Happy
8.609,"[1, 2, 5, 6, 7, 10, 12, 23, 25, 26]",Happy
8.642,"[1, 2, 5, 6, 7, 10, 12, 23, 25, 26]",Happy
8.675,"[1, 2, 5, 6, 7, 10, 12, 23, 25, 26]",Happy
8.709,"[1, 2, 5, 6, 7, 10, 12, 23, 25, 26]",Happy
8.742,"[1, 2, 5, 6, 7, 10, 12, 23, 25, 26]",Happy
8.775,"[1, 2, 5, 6, 7, 10, 12, 23, 26]",Neutral
8.809,"[1, 2, 5, 6, 7, 10, 12, 23, 26]",Neutral
8.842,"[2, 5, 6, 7, 12, 14, 23, 26]",Contempt
8.876,"[2, 5, 6, 7, 12, 14, 23, 26]",Contempt
8.909,"[2, 6, 7, 12, 14, 23, 26]",Contempt
8.942,"[2, 6, 7, 12, 14, 23]",Contempt
8.976,"[2, 6, 7, 12, 14, 23]",Contempt
9.009,"[6, 7, 12, 14, 23]",Contempt
9.042,"[6, 7, 12, 14, 23, 25]",Happy
9.076,"[6, 7, 12, 14, 23, 25]",Happy
9.109,"[6, 7, 12, 14, 23, 25]",Happy
9.142,"[6, 7, 12, 14, 23, 25]",Happy
9.176,"[6, 7, 12, 14, 23, 25]",Happy
9.209,"[6, 7, 12, 14, 23, 25]",Happy
9.243,"[2, 5, 6, 7, 10, 12, 23, 25, 26]",Happy
9.276,"[2, 5, 6, 7, 10, 12, 23, 25, 26]",Happy
9.309,"[2, 5, 6, 7, 10, 23, 25, 26]",Neutral
9.343,"[2, 5, 6, 7, 10, 23, 25, 26]",Neutral
9.376,"[2, 5, 6, 7, 10, 23, 25, 26]",Neutral
9.409,"[2, 5, 6, 7, 10, 23, 25, 26]",Neutral
9.443,"[2, 5, 6, 7, 10, 17, 23, 25, 26]",Neutral
9.476,"[2, 5, 6, 7, 10, 17, 23, 25, 26]",Neutral
9.51,"[2, 5, 6, 7, 10, 17, 23, 25, 26]",Neutral
9.543,"[2, 5, 6, 7, 10, 17, 23, 25, 26]",Neutral
9.576,"[2, 5, 6, 7, 10, 17, 23, 25, 26]",Neutral
9.61,"[2, 5, 6, 7, 10, 17, 23, 25, 26]",Neutral
9.643,"[2, 5, 6, 7, 10, 15, 23]",Neutral
9.676,"[2, 6, 7, 10, 15, 23]",Neutral
9.71,"[2, 6, 7, 10, 15, 23]",Neutral
9.743,"[2, 6, 7, 10, 15, 23]",Neutral
9.776,"[2, 6, 7, 10, 15, 23]",Neutral
9.81,"[2, 6, 7, 10, 15, 23]",Neutral
9.843,"[2, 5, 6, 7, 10, 15, 23]",Neutral
9.877,"[2, 5, 6, 7, 10, 15, 23]",Neutral
9.91,"[2, 5, 6, 7, 10, 23]",Neutral
9.943,"[2, 5, 6, 7, 23]",Neutral
9.977,"[2, 5, 6, 7, 23]",Neutral
10.01,"[2, 5, 6, 7, 23]",Neutral
10.043,"[2, 5, 6, 7, 23]",Neutral
10.077,"[2, 5, 6, 7, 23]",Neutral
10.11,"[2, 5, 6, 7, 23]",Neutral
10.143,"[2, 5, 6, 7, 23]",Neutral
10.177,"[2, 5, 6, 7, 23]",Neutral
10.21,"[2, 5, 6, 7, 23]",Neutral
10.244,"[2, 6, 7, 23, 25]",Neutral
10.277,"[2, 6, 7, 23, 25]",Neutral
10.31,"[2, 6, 7, 23, 25]",Neutral
10.344,"[2, 6, 7, 25]",Neutral
10.377,"[2, 6, 7, 25]",Neutral
10.41,"[2, 6, 7, 25]",Neutral
10.444,"[2, 5, 6, 7, 25, 26]",Neutral
10.477,"[2, 5, 6, 7, 25, 26]",Neutral
10.511,"[2, 5, 6, 7, 25, 26]",Neutral
10.544,"[2, 5, 6, 7, 25, 26]",Neutral
10.577,"[2, 5, 6, 25, 26]",Neutral
10.611,"[2, 5, 6, 25, 26]",Neutral
10.644,"[1, 2, 5, 6, 25, 26]",Neutral
10.677,"[1, 2, 5, 25, 26]",Neutral
10.711,"[1, 2, 5, 25, 26]",Neutral
10.744,"[1, 2, 5, 17]",Neutral
10.777,"[1, 2, 5, 17]",Neutral
10.811,"[1, 2, 5, 17]",Neutral
10.844,"[1, 2, 5, 17]",Neutral
10.878,"[1, 2, 5, 17]",Neutral
10.911,"[1, 2, 5, 17]",Neutral
10.944,"[1, 2, 5, 17, 25, 26]",Neutral
10.978,"[1, 2, 5, 25, 26]",Neutral
11.011,"[1, 2, 5, 25, 26]",Neutral
11.044,"[1, 2, 5, 25, 26]",Neutral
11.078,"[1, 2, 5, 7, 25, 26]",Neutral
11.111,"[1, 2, 5, 7, 25, 26]",Neutral
11.144,"[1, 2, 5, 25, 26]",Neutral
11.178,"[1, 2, 5, 25, 26]",Neutral
11.211,"[1, 2, 5, 25, 26]",Neutral
11.245,"[1, 2, 5, 15, 25, 26]",Neutral
11.278,"[1, 2, 5, 15, 25, 26]",Neutral
11.311,"[1, 2, 5, 15, 25, 26]",Neutral
11.345,"[1, 2, 5, 15, 25, 26]",Neutral
11.378,"[1, 2, 5, 15, 25, 26]",Neutral
11.411,"[1, 2, 5, 15, 25, 26]",Neutral
11.445,"[1, 2, 5, 15, 25, 26]",Neutral
11.478,"[1, 2, 5, 15, 25, 26]",Neutral
11.512,"[1, 2, 5, 15, 17, 25, 26]",Neutral
11.545,"[1, 2, 5, 17, 25, 26]",Neutral
11.578,"[1, 2, 5, 25, 26]",Neutral
11.612,"[1, 2, 5, 25, 26]",Neutral
11.645,"[1, 2, 5, 25, 26]",Neutral
11.678,"[1, 2, 5, 25, 26]",Neutral
11.712,"[1, 2, 5, 25]",Neutral
11.745,"[1, 2, 5]",Neutral
11.778,"[1, 2, 5]",Neutral
11.812,"[1, 2, 5]",Neutral
11.845,"[1, 2, 5, 10, 26]",Neutral
11.879,"[1, 2, 5, 10, 26]",Neutral
11.912,"[1, 2, 5, 10, 26]",Neutral
11.945,"[1, 2, 5, 10, 26]",Neutral
11.979,"[1, 2, 5, 10, 25, 26]",Neutral
12.012,"[1, 2, 5, 10, 25, 26]",Neutral
12.045,"[1, 2, 5, 10, 25, 26]",Neutral
12.079,"[1, 2, 5, 10, 25, 26]",Neutral
12.112,"[1, 2, 5, 10, 25, 26]",Neutral
12.145,"[1, 2, 5, 10, 25, 26]",Neutral
12.179,"[1, 2, 5, 10, 25, 26]",Neutral
12.212,"[1, 2, 5, 10, 25, 26]",Neutral
12.246,"[1, 2, 5, 10, 25, 26]",Neutral
12.279,"[1, 2, 5, 10, 25, 26]",Neutral
12.312,"[1, 2, 5, 10, 25, 26]",Neutral
12.346,"[1, 2, 5, 10, 25, 26]",Neutral
12.379,"[1, 2, 5, 10, 25, 26]",Neutral
12.412,"[1, 2, 5, 10, 25, 26]",Neutral
12.446,"[1, 2, 5, 10, 25, 26]",Neutral
12.479,"[1, 2, 5, 10, 25, 26]",Neutral
12.513,"[1, 2, 5, 10, 25, 26]",Neutral
12.546,"[1, 2, 5, 10, 25, 26]",Neutral
12.579,"[1, 2, 5, 7, 10, 25, 26]",Neutral
12.613,"[1, 2, 5, 7, 10, 25, 26]",Neutral
12.646,"[1, 2, 5, 7, 10, 25]",Neutral
12.679,"[1, 2, 5, 7, 10, 25]",Neutral
12.713,"[1, 2, 5, 7, 10, 25]",Neutral
12.746,"[1, 2, 5, 17]",Neutral
12.779,"[1, 2, 5, 17]",Neutral
12.813,"[1, 2, 5, 17]",Neutral
12.846,"[1, 2, 5, 17]",Neutral
12.88,"[1, 2, 5, 17]",Neutral
12.913,"[1, 2, 5, 17]",Neutral
12.946,"[1, 2, 5, 17]",Neutral
12.98,"[1, 2, 5, 17]",Neutral
13.013,"[1, 2, 5, 17]",Neutral
13.046,"[1, 2, 5, 17]",Neutral
13.08,"[1, 2, 5, 17]",Neutral
13.113,"[1, 2, 5, 17]",Neutral
13.146,"[1, 2, 5, 7, 17, 25, 26]",Neutral
13.18,"[1, 2, 5, 7, 17, 25, 26]",Neutral
13.213,"[1, 2, 5, 7, 17, 25, 26]",Neutral
13.247,"[1, 2, 5, 7, 17, 25, 26]",Neutral
13.28,"[1, 2, 5, 17, 25, 26]",Neutral
13.313,"[1, 2, 5, 17, 25, 26]",Neutral
13.347,"[1, 2, 5, 17, 25, 26]",Neutral
13.38,"[1, 2, 5, 17, 26]",Neutral
13.413,"[1, 2, 5, 17, 26]",Neutral
13.447,"[1, 2, 5, 17, 26]",Neutral
13.48,"[1, 2, 5, 17, 26]",Neutral
13.514,"[1, 2, 4, 5, 17, 25, 26]",Neutral
13.547,"[1, 2, 4, 5, 17, 25, 26]",Neutral
13.58,"[1, 2, 4, 5, 17, 25, 26]",Neutral
13.614,"[1, 2, 4, 5, 17, 25, 26]",Neutral
13.647,"[1, 2, 4, 5, 17, 25, 26]",Neutral
13.68,"[1, 2, 4, 5, 7, 17, 25, 26]",Neutral
13.714,"[1, 2, 4, 5, 7, 17, 25, 26]",Neutral
13.747,"[1, 2, 4, 5, 7, 17, 25, 26]",Neutral
13.78,"[1, 2, 5, 7, 17, 25, 26]",Neutral
13.814,"[1, 2, 5, 7, 17, 25, 26]",Neutral
13.847,"[1, 2, 5, 7, 17, 26]",Neutral
13.881,"[1, 2, 5, 7, 17, 26]",Neutral
13.914,"[1, 2, 5, 7, 17, 26]",Neutral
13.947,"[1, 2, 5, 7, 17]",Neutral
13.981,"[1, 2, 5, 7, 17]",Neutral
14.014,"[1, 2, 5, 7, 17]",Neutral
14.047,"[1, 2, 5, 7, 17]",Neutral
14.081,"[1, 2, 5, 7, 17, 23]",Neutral
14.114,"[1, 2, 5, 7, 17, 23]",Neutral
14.147,"[1, 2, 5, 7, 17, 23]",Neutral
14.181,"[1, 2, 5, 7, 17, 23]",Neutral
14.214,"[1, 2, 5, 7, 17, 23]",Neutral
14.248,"[1, 2, 5, 7, 17, 23]",Neutral
14.281,"[1, 2, 5, 7, 17, 23]",Neutral
14.314,"[1, 2, 5, 17, 23]",Neutral
14.348,"[1, 2, 5, 17, 23]",Neutral
14.381,"[1, 2, 5, 17, 23]",Neutral
14.414,"[1, 2, 5, 17, 23]",Neutral
14.448,"[1, 2, 5, 17, 23]",Neutral
14.481,"[1, 2, 5, 17, 23]",Neutral
14.515,"[1, 2, 5, 17, 23]",Neutral
14.548,"[1, 2, 5, 17, 23]",Neutral
14.581,"[1, 2, 5, 17, 23]",Neutral
14.615,"[1, 2, 5, 7, 17, 23]",Neutral
14.648,"[1, 2, 5, 7, 17, 23, 25, 26]",Neutral
14.681,"[1, 2, 5, 7, 17, 23, 25, 26]",Neutral
14.715,"[1, 2, 5, 7, 17, 23, 25, 26]",Neutral
14.748,"[1, 2, 5, 7, 17, 25, 26]",Neutral
14.781,"[1, 2, 5, 7, 17, 25, 26]",Neutral
14.815,"[1, 2, 5, 7, 17, 25, 26]",Neutral
14.848,"[1, 2, 5, 7, 25, 26]",Neutral
14.882,"[1, 2, 5, 7, 25, 26]",Neutral
14.915,"[1, 2, 5, 7, 25, 26]",Neutral
14.948,"[1, 2, 5, 7, 25, 26]",Neutral
14.982,"[1, 2, 5, 7, 25, 26]",Neutral
15.015,"[1, 2, 5, 7, 25, 26]",Neutral
15.048,"[1, 2, 5, 7, 25, 26]",Neutral
15.082,"[1, 2, 5, 7, 25, 26]",Neutral
15.115,"[1, 2, 5, 25]",Neutral
15.148,"[1, 2, 5, 17]",Neutral
15.182,"[1, 2, 5, 17]",Neutral
15.215,"[1, 2, 4, 5, 17]",Neutral
15.249,"[1, 2, 4, 5, 17]",Neutral
15.282,"[1, 2, 4, 5, 17]",Neutral
15.315,"[1, 2, 4, 5, 17]",Neutral
15.349,"[1, 2, 4, 5, 17]",Neutral
15.382,"[1, 2, 4, 5, 17]",Neutral
15.415,"[1, 2, 4, 5, 17]",Neutral
15.449,"[1, 2, 4, 5, 7, 17]",Neutral
15.482,"[1, 2, 4, 5, 7, 17]",Neutral
15.516,"[1, 2, 4, 5, 7, 17]",Neutral
15.549,"[4, 6, 7, 9, 17]",Neutral
15.582,"[4, 6, 7, 9, 17]",Neutral
15.616,"[4, 6, 7, 9, 10, 17, 25, 26]",Neutral
15.649,"[4, 6, 7, 9, 10, 17, 25, 26]",Neutral
15.682,"[4, 6, 7, 9, 10, 17, 25, 26]",Neutral
15.716,"[4, 6, 7, 9, 10, 17, 25, 26]",Neutral
15.749,"[4, 6, 7, 9, 10, 17, 25, 26]",Neutral
15.782,"[4, 6, 7, 9, 10, 17, 25, 26]",Neutral
15.816,"[4, 6, 7, 9, 10, 17, 25, 26]",Neutral
15.849,"[4, 6, 7, 9, 10, 17, 25, 26]",Neutral
15.883,"[4, 6, 7, 9, 10, 17, 25, 26]",Neutral
15.916,"[4, 6, 7, 9, 10, 17, 25, 26]",Neutral
15.949,"[4, 6, 7, 9, 10, 17, 25, 26]",Neutral
